id,name,location,type,description,price,min_people,max_people,difficulty,duration_days,rating_avg,available,created_at
1,Tour Leo núi 1,Hà Giang,leo núi,Trải nghiệm leo núi thú vị số 1,30000000.0,3,11,easy,4,5.0,1,2025-09-30 20:45:07
2,Tour Quốc tế 2,Singapore,quốc tế,Trải nghiệm quốc tế thú vị số 2,27031742.0,2,19,medium,1,3.5,1,2025-09-30 20:45:07
3,Tour Quốc tế 3,Malaysia,quốc tế,Trải nghiệm quốc tế thú vị số 3,16942874.0,1,29,medium,4,4.7,1,2025-09-30 20:45:07
4,Tour Quốc tế 4,Singapore,quốc tế,Trải nghiệm quốc tế thú vị số 4,40000000.0,2,13,easy,2,4.7,1,2025-09-30 20:45:07
5,Tour Cắm trại 5,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 5,22257425.0,2,19,medium,1,4.2,1,2025-09-30 20:45:07
6,Tour Biển 6,Quảng Ninh,biển,Trải nghiệm biển thú vị số 6,13515782.0,3,29,medium,5,3.9,1,2025-09-30 20:45:07
7,Tour Cắm trại 7,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 7,7427154.0,3,20,hard,1,4.9,1,2025-09-30 20:45:07
8,Tour Leo núi 8,Đà Lạt,leo núi,Trải nghiệm leo núi thú vị số 8,10070230.0,1,10,medium,1,4.9,1,2025-09-30 20:45:07
9,Tour Quốc tế 9,Singapore,quốc tế,Trải nghiệm quốc tế thú vị số 9,26598067.0,3,17,hard,7,4.5,1,2025-09-30 20:45:07
10,Tour Quốc tế 10,Thái Lan,quốc tế,Trải nghiệm quốc tế thú vị số 10,28460104.0,2,14,easy,3,3.9,1,2025-09-30 20:45:07
11,Tour Quốc tế 11,Nhật Bản,quốc tế,Trải nghiệm quốc tế thú vị số 11,10523404.0,3,13,hard,5,4.7,1,2025-09-30 20:45:07
12,Tour City tour 12,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 12,18640601.0,3,14,easy,3,5.0,1,2025-09-30 20:45:07
13,Tour Biển 13,Quảng Ninh,biển,Trải nghiệm biển thú vị số 13,14453080.0,1,18,medium,5,4.0,1,2025-09-30 20:45:07
